,Word,salet guesschain,salet reductions,salet score,reast guesschain,reast reductions,reast score,crate guesschain,crate reductions,crate score,trace guesschain,trace reductions,trace score,slate guesschain,slate reductions,slate score,crane guesschain,crane reductions,crane score,word1,word2,word3,word4,word5
26,moist,salet moist,4,2,reast joust moist,4,3,crate snout moist,17,3,trace month moist,23,3,slate moist,6.0,2,crane flout moist,36,3,m,o,i,s,t
27,shard,salet scrap shard,5,3,reast shard,2,2,crate hoard shard,5,3,trace hoard shard,5,3,slate shard,1.0,2,crane stair shard,7,3,s,h,a,r,d
28,pleat,salet pleat,1,2,reast pleat,2,2,crate asset pleat,6,3,trace asset pleat,6,3,slate pleat,1.0,2,crane asset pleat,12,3,p,l,e,a,t
29,aloft,salet aloft,4,2,reast fault aloft,8,3,crate aloft,13,2,trace fatly aloft,13,3,slate aloft,4.0,2,crane aloft,26,2,a,l,o,f,t
30,skill,salet slump skill,8,3,reast ikons skill,10,3,crate fonly skill,32,3,trace fonly skill,32,3,slate skill,3.0,2,crane flout kilps skill,39,4,s,k,i,l,l
31,elder,salet elder,7,2,reast prime elder,22,3,crate fewer elder,16,3,trace fewer elder,16,3,slate elder,2.0,2,crane reest elder,20,3,e,l,d,e,r
32,frame,salet ahead brave frame,16,4,reast brave frame,3,3,crate brave frame,3,3,trace brave frame,3,3,slate frame,5.0,2,crane brame frame,4,3,f,r,a,m,e
33,humor,salet monic humor,36,3,reast droop humor,20,3,crate fiord humor,13,3,trace fiord humor,13,3,slate monic humor,36.0,3,crane lirot humor,16,3,h,u,m,o,r
34,pause,salet pause,1,2,reast lapse pause,3,3,crate pause,8,2,trace pause,8,2,slate pause,1.0,2,crane pause,9,2,p,a,u,s,e
35,ulcer,salet elder ulcer,8,3,reast prime elder ulcer,23,4,crate ulcer,1,2,trace ulcer,1,2,slate elder ulcer,3.0,3,crane ulcer,1,2,u,l,c,e,r
36,ultra,salet aptly ultra,4,3,reast aorta ultra,3,3,crate ultra,1,2,trace aorta ultra,3,3,slate aloft ultra,5.0,3,crane molar larva ultra,15,4,u,l,t,r,a
37,robin,salet monic robin,36,3,reast robin,2,2,crate fiord robin,13,3,trace fiord robin,13,3,slate monic robin,36.0,3,crane mourn robin,5,3,r,o,b,i,n
38,cynic,salet monic cynic,36,3,reast could cinch cynic,35,4,crate child cynic,9,3,trace could cynic,10,3,slate monic cynic,36.0,3,crane cinch cynic,5,3,c,y,n,i,c
39,aroma,salet acorn aroma,15,3,reast favor aroma,13,3,crate aroma,1,2,trace aroma,1,2,slate carny aroma,24.0,3,crane aroma,1,2,a,r,o,m,a
40,caulk,salet caulk,3,2,reast cahow canny caulk,26,4,crate cabal caulk,5,3,trace cacao canny caulk,11,4,slate lairy caulk,12.0,3,crane cacao caulk,5,3,c,a,u,l,k
41,shake,salet shake,6,2,reast shake,3,2,crate pease shake,8,3,trace pease shake,8,3,slate shake,4.0,2,crane etape shake,10,3,s,h,a,k,e
42,dodge,salet dogie dodge,32,3,reast dicey dodge,29,3,crate dogie dodge,18,3,trace dogie dodge,18,3,slate dogie dodge,24.0,3,crane dobie dodge,20,3,d,o,d,g,e
43,swill,salet slump skill swill,9,4,reast ikons spill swill,12,4,crate fonly skill spill swill,35,5,trace fonly skill spill swill,35,5,slate skill spill swill,6.0,4,crane flout kilps swill,39,4,s,w,i,l,l
44,tacit,salet tacit,2,2,reast fault tacit,8,3,crate tacit,2,2,trace tacit,1,2,slate cagot tacit,9.0,3,crane tacit,5,2,t,a,c,i,t
45,other,salet inter other,3,3,reast trice other,9,3,crate inert other,8,3,trace inter other,8,3,slate inert other,13.0,3,crane reest other,20,3,o,t,h,e,r
46,thorn,salet youth thorn,12,3,reast froth thorn,5,3,crate story thorn,6,3,trace third thorn,4,3,slate input thorn,12.0,3,crane mourn thorn,5,3,t,h,o,r,n
47,trove,salet their trope trove,20,4,reast trice trope trove,11,4,crate trope trove,3,3,trace trope trove,4,3,slate trice trope trove,11.0,4,crane trope trove,9,3,t,r,o,v,e
48,bloke,salet elfin bloke,7,3,reast dicey bloke,31,3,crate dogie bloke,20,3,trace dogie bloke,20,3,slate bloke,3.0,2,crane dobie bloke,20,3,b,l,o,k,e
49,vivid,salet monic vivid,36,3,reast could vivid,33,3,crate fonly vivid,30,3,trace fonly vivid,30,3,slate monic vivid,36.0,3,crane flout vivid,36,3,v,i,v,i,d
50,spill,salet slump spill,7,3,reast ikons spill,11,3,crate fonly skill spill,34,4,trace fonly skill spill,34,4,slate skill spill,5.0,3,crane flout kilps spill,39,4,s,p,i,l,l
51,chant,salet quart chant,5,3,reast chant,2,2,crate chant,1,2,trace chant,1,2,slate quart chant,7.0,3,crane chant,1,2,c,h,a,n,t
52,choke,salet dogie choke,33,3,reast dicey choke,29,3,crate choke,1,2,trace choke,1,2,slate dogie choke,25.0,3,crane choke,2,2,c,h,o,k,e
53,rupee,salet fewer rupee,16,3,reast rhyme rupee,4,3,crate burse rupee,6,3,trace burse rupee,6,3,slate dogie rhyme rupee,26.0,4,crane emure rupee,7,3,r,u,p,e,e
54,nasty,salet nasty,1,2,reast nasty,1,2,crate nasty,3,2,trace fatly nasty,13,3,slate nasty,1.0,2,crane natal nasty,6,3,n,a,s,t,y
55,mourn,salet monic mourn,36,3,reast droop mourn,19,3,crate fiord mourn,13,3,trace fiord mourn,13,3,slate monic mourn,36.0,3,crane mourn,4,2,m,o,u,r,n
56,ahead,salet ahead,12,2,reast algae ahead,14,3,crate almes ahead,10,3,trace almes ahead,10,3,slate abeam ahead,10.0,3,crane asset ahead,12,3,a,h,e,a,d
57,brine,salet dogie mince brine,37,4,reast prime brine,20,3,crate prime brine,8,3,trace prime brine,8,3,slate dogie mince brine,29.0,4,crane brine,1,2,b,r,i,n,e
58,cloth,salet cloth,2,2,reast month cloth,10,3,crate cloth,1,2,trace cloth,2,2,slate cloth,1.0,2,crane could cloth,4,3,c,l,o,t,h
59,hoard,salet acorn hoard,15,3,reast braid hoard,7,3,crate hoard,4,2,trace hoard,4,2,slate charm hoard,8.0,3,crane stair hoard,7,3,h,o,a,r,d
60,sweet,salet sweet,1,2,reast onset sweet,5,3,crate denet sweet,11,3,trace sweet,12,2,slate stein sweet,3.0,3,crane eisel sweet,18,3,s,w,e,e,t
61,month,salet youth month,12,3,reast month,9,2,crate month,7,2,trace month,22,2,slate month,7.0,2,crane input month,13,3,m,o,n,t,h
62,lapse,salet lapse,1,2,reast lapse,2,2,crate pause lapse,9,3,trace pause lapse,9,3,slate lapse,1.0,2,crane pause lapse,10,3,l,a,p,s,e
63,watch,salet catch watch,5,3,reast cital watch,11,3,crate tacit watch,3,3,trace catch watch,3,3,slate cagot watch,9.0,3,crane tacit watch,6,3,w,a,t,c,h
64,today,salet aorta today,7,3,reast cital today,11,3,crate aloft today,14,3,trace tangy today,5,3,slate cagot today,9.0,3,crane aloft today,27,3,t,o,d,a,y
65,focus,salet brisk focus,4,3,reast ikons focus,10,3,crate flock focus,6,3,trace could focus,10,3,slate brisk focus,4.0,3,crane flock focus,7,3,f,o,c,u,s
66,smelt,salet smelt,1,2,reast onset smelt,5,3,crate denet exist smelt,13,4,trace sweet smelt,13,3,slate smelt,1.0,2,crane eisel smelt,18,3,s,m,e,l,t
67,tease,salet tease,1,2,reast tease,1,2,crate stale tease,3,3,trace tease,1,2,slate tease,1.0,2,crane etape tease,9,3,t,e,a,s,e
68,cater,salet cater,2,2,reast cater,3,2,crate cater,1,2,trace cater,1,2,slate acted cater,6.0,3,crane cater,1,2,c,a,t,e,r
69,movie,salet dogie movie,32,3,reast dicey movie,30,3,crate dogie movie,18,3,trace dogie movie,18,3,slate dogie movie,24.0,3,crane dobie movie,20,3,m,o,v,i,e
70,saute,salet saute,1,2,reast saute,3,2,crate saute,2,2,trace saute,3,2,slate saute,1.0,2,crane pause saute,10,3,s,a,u,t,e
71,allow,salet allow,3,2,reast cahow allow,24,3,crate aloud allow,18,3,trace aloud allow,18,3,slate aloud allow,5.0,3,crane aloft allow,27,3,a,l,l,o,w
72,renew,salet fewer renew,16,3,reast renew,1,2,crate fewer renew,16,3,trace fewer renew,16,3,slate remen renew,24.0,3,crane inert renew,5,3,r,e,n,e,w
73,their,salet their,17,2,reast trice their,9,3,crate inert their,8,3,trace their,1,2,slate inert their,13.0,3,crane reest their,20,3,t,h,e,i,r
74,slosh,salet slump slosh,7,3,reast slosh,1,2,crate fonly gloom slosh,32,4,trace fonly gloom slosh,32,4,slate slump slosh,4.0,3,crane flout gloom slosh,38,4,s,l,o,s,h
75,purge,salet dogie purge,32,3,reast prime purge,19,3,crate burse purge,6,3,trace burse purge,6,3,slate dogie purge,24.0,3,crane emure purge,7,3,p,u,r,g,e
76,chest,salet chest,3,2,reast chest,2,2,crate chest,1,2,trace chest,1,2,slate chest,5.0,2,crane cheek chest,4,3,c,h,e,s,t
77,depot,salet crept depot,7,3,reast depot,1,2,crate denet depot,11,3,trace sweet depot,13,3,slate inert depot,13.0,3,crane eisel depot,19,3,d,e,p,o,t
78,epoxy,salet dogie enjoy epoxy,34,4,reast dicey enjoy epoxy,31,4,crate dopey epoxy,17,3,trace dopey epoxy,17,3,slate remen epoxy,24.0,3,crane eisel epoxy,18,3,e,p,o,x,y
79,nymph,salet monic nymph,36,3,reast could nymph,33,3,crate fonly nymph,30,3,trace fonly nymph,30,3,slate monic nymph,36.0,3,crane input nymph,13,3,n,y,m,p,h
80,found,salet monic found,36,3,reast could found,33,3,crate fonly found,30,3,trace fonly found,30,3,slate monic found,36.0,3,crane found,5,2,f,o,u,n,d
81,shall,salet shall,4,2,reast scald shall,4,3,crate shall,5,2,trace shall,5,2,slate shall,4.0,2,crane shall,4,2,s,h,a,l,l
82,stove,salet smite stove,4,3,reast smite stove,4,3,crate theme stove,6,3,trace smite stove,4,3,slate stove,1.0,2,crane dobie spoke stove,24,4,s,t,o,v,e
83,lowly,salet clour lowly,17,3,reast could lowly,33,3,crate fonly lowly,30,3,trace fonly lowly,30,3,slate could lowly,7.0,3,crane flout lowly,36,3,l,o,w,l,y
84,snout,salet snout,1,2,reast snout,1,2,crate snout,16,2,trace month snout,23,3,slate snout,6.0,2,crane input snout,13,3,s,n,o,u,t
85,trope,salet their trope,19,3,reast trice trope,10,3,crate trope,2,2,trace trope,3,2,slate trice trope,10.0,3,crane trope,8,2,t,r,o,p,e
86,fewer,salet fewer,15,2,reast fewer,3,2,crate fewer,15,2,trace fewer,15,2,slate remen fewer,24.0,3,crane reest fewer,20,3,f,e,w,e,r
87,shawl,salet shall shawl,5,3,reast scald shawl,4,3,crate shall shawl,6,3,trace shall shawl,6,3,slate shall shawl,5.0,3,crane shall shawl,5,3,s,h,a,w,l
88,natal,salet natal,1,2,reast cital natal,11,3,crate aloft natal,14,3,trace fatly natal,13,3,slate aptly natal,5.0,3,crane natal,5,2,n,a,t,a,l
89,comma,salet acorn comma,15,3,reast cahow comma,24,3,crate cabal comma,5,3,trace cacao comma,9,3,slate carny comma,24.0,3,crane cacao comma,5,3,c,o,m,m,a
90,foray,salet acorn foray,15,3,reast favor foray,13,3,crate manor foray,17,3,trace manor foray,17,3,slate carny foray,24.0,3,crane molar foray,13,3,f,o,r,a,y
91,scare,salet shake scare,8,3,reast scare,1,2,crate scare,1,2,trace scare,1,2,slate shake scare,6.0,3,crane scare,1,2,s,c,a,r,e
92,stair,salet stair,1,2,reast stair,1,2,crate quart stair,4,3,trace quart stair,3,3,slate stair,1.0,2,crane stair,6,2,s,t,a,i,r
93,black,salet aloud black,13,3,reast black,4,2,crate black,3,2,trace black,2,2,slate black,3.0,2,crane black,3,2,b,l,a,c,k
94,squad,salet scrap squad,5,3,reast squad,2,2,crate aloud squad,18,3,trace aloud squad,18,3,slate scrap squad,4.0,3,crane aloft gawky squad,31,4,s,q,u,a,d
95,royal,salet aloud royal,12,3,reast rainy royal,4,3,crate manor foray royal,18,4,trace manor foray royal,18,4,slate lairy royal,12.0,3,crane molar royal,13,3,r,o,y,a,l
96,chunk,salet monic chunk,36,3,reast could chunk,33,3,crate child chunk,9,3,trace could chunk,10,3,slate monic chunk,36.0,3,crane chunk,2,2,c,h,u,n,k
97,mince,salet dogie mince,36,3,reast dicey mince,30,3,crate mince,3,2,trace mince,3,2,slate dogie mince,28.0,3,crane mince,2,2,m,i,n,c,e
98,shame,salet shake shame,7,3,reast shake shame,4,3,crate pease shake shame,9,4,trace pease shake shame,9,4,slate shake shame,5.0,3,crane etape shake shame,11,4,s,h,a,m,e
99,cheek,salet fewer cheek,16,3,reast dicey cheek,29,3,crate cheek,2,2,trace cheek,4,2,slate remen cheek,24.0,3,crane cheek,3,2,c,h,e,e,k
100,ample,salet clade ample,8,3,reast algae ample,14,3,crate pause ample,9,3,trace pause ample,9,3,slate ample,2.0,2,crane pause ample,10,3,a,m,p,l,e
101,flair,salet aloud black flair,14,4,reast braid flair,7,3,crate hoard flair,5,3,trace hoard flair,5,3,slate black flair,4.0,3,crane stair flair,7,3,f,l,a,i,r
102,foyer,salet fewer foyer,16,3,reast prime elder foyer,23,4,crate fewer foyer,16,3,trace fewer foyer,16,3,slate remen poker foyer,27.0,4,crane reest poker foyer,26,4,f,o,y,e,r
103,cargo,salet carny cargo,17,3,reast favor cargo,13,3,crate cargo,2,2,trace cargo,3,2,slate carny cargo,24.0,3,crane cargo,2,2,c,a,r,g,o
104,oxide,salet dogie oxide,32,3,reast dicey oxide,29,3,crate dogie oxide,18,3,trace dogie oxide,18,3,slate dogie oxide,24.0,3,crane dobie oxide,20,3,o,x,i,d,e
105,plant,salet aloft plant,5,3,reast chant plant,3,3,crate plant,2,2,trace plant,1,2,slate plant,1.0,2,crane bland plant,4,3,p,l,a,n,t
106,olive,salet elfin olive,7,3,reast dicey movie olive,31,4,crate dogie olive,18,3,trace dogie olive,18,3,slate bloke olive,4.0,3,crane dobie olive,20,3,o,l,i,v,e
107,inert,salet crept inert,7,3,reast crept inert,4,3,crate inert,7,2,trace inter inert,8,3,slate inert,12.0,2,crane inert,4,2,i,n,e,r,t
108,askew,salet askew,1,2,reast askew,2,2,crate almes askew,10,3,trace almes askew,10,3,slate askew,1.0,2,crane asset askew,12,3,a,s,k,e,w
109,heist,salet chest heist,4,3,reast heist,1,2,crate denet heist,11,3,trace sweet exist heist,15,4,slate chest heist,6.0,3,crane eisel heist,18,3,h,e,i,s,t
110,shown,salet scorn shown,7,3,reast ikons shown,10,3,crate fonly shown,30,3,trace fonly shown,30,3,slate scorn shown,7.0,3,crane input blown shown,15,4,s,h,o,w,n
111,zesty,salet those zesty,3,3,reast zesty,1,2,crate depth zesty,4,3,trace sweet zesty,13,3,slate zesty,1.0,2,crane eisel zesty,18,3,z,e,s,t,y
112,trash,salet trash,1,2,reast trash,1,2,crate train trash,4,3,trace train trash,4,3,slate trash,1.0,2,crane braid trash,4,3,t,r,a,s,h
113,larva,salet caulk larva,4,3,reast favor larva,13,3,crate manor hairy larva,18,4,trace manor hairy larva,18,4,slate lairy larva,12.0,3,crane molar larva,14,3,l,a,r,v,a
114,forgo,salet monic foggy forgo,40,4,reast droop forgo,19,3,crate fiord forgo,13,3,trace fiord forgo,13,3,slate monic foggy forgo,40.0,4,crane lirot forgo,16,3,f,o,r,g,o
115,story,salet stogy story,6,3,reast story,1,2,crate story,5,2,trace robot story,5,3,slate snout stomp story,9.0,4,crane lirot story,16,3,s,t,o,r,y
116,hairy,salet carny hairy,17,3,reast favor carry hairy,15,4,crate manor hairy,17,3,trace manor hairy,17,3,slate carny hairy,24.0,3,crane molar hairy,13,3,h,a,i,r,y
117,train,salet aorta train,7,3,reast tiara train,3,3,crate train,3,2,trace train,3,2,slate quart train,7.0,3,crane train,1,2,t,r,a,i,n
118,homer,salet fewer homer,18,3,reast prime homer,19,3,crate fewer loper homer,21,4,trace fewer loper homer,21,4,slate remen homer,24.0,3,crane reest poker foyer homer,27,5,h,o,m,e,r
119,badge,salet badge,4,2,reast algae badge,15,3,crate pause badge,10,3,trace pause badge,10,3,slate abune badge,6.0,3,crane pause badge,10,3,b,a,d,g,e
120,midst,salet moist midst,5,3,reast joust midst,4,3,crate snout midst,17,3,trace month midst,23,3,slate moist midst,7.0,3,crane flout midst,36,3,m,i,d,s,t
121,canny,salet carny canny,17,3,reast cahow canny,25,3,crate cabal canny,5,3,trace cacao canny,10,3,slate carny canny,24.0,3,crane canny,1,2,c,a,n,n,y
122,shine,salet shine,3,2,reast shine,4,2,crate dogie shine,18,3,trace dogie shine,18,3,slate shine,3.0,2,crane shine,2,2,s,h,i,n,e
123,gecko,salet dogie gecko,32,3,reast denim gecko,8,3,crate excel gecko,3,3,trace cheek gecko,5,3,slate remen gecko,24.0,3,crane eject gecko,4,3,g,e,c,k,o
124,farce,salet badge farce,6,3,reast amber creak farce,11,4,crate farce,1,2,trace farce,1,2,slate abune farce,6.0,3,crane farce,1,2,f,a,r,c,e
125,slung,salet slump slung,7,3,reast ikons slung,10,3,crate fonly slung,30,3,trace fonly slung,30,3,slate slump slung,4.0,3,crane found slung,6,3,s,l,u,n,g
126,tipsy,salet rusty tipsy,4,3,reast tipsy,1,2,crate snout tipsy,17,3,trace tipsy,1,2,slate moist tipsy,7.0,3,crane flout tipsy,36,3,t,i,p,s,y
127,metal,salet metal,1,2,reast metal,1,2,crate asset metal,6,3,trace asset metal,6,3,slate metal,2.0,2,crane asset metal,12,3,m,e,t,a,l
128,yield,salet elfin yield,7,3,reast dicey yield,29,3,crate dopey yield,17,3,trace dopey yield,17,3,slate leery yield,9.0,3,crane eisel field yield,20,4,y,i,e,l,d
129,delve,salet delve,1,2,reast denim delve,8,3,crate dogie delve,18,3,trace dogie delve,18,3,slate delve,1.0,2,crane dobie delve,20,3,d,e,l,v,e
130,being,salet dogie being,32,3,reast denim being,8,3,crate dopey begin being,19,4,trace dopey begin being,19,4,slate remen being,24.0,3,crane being,1,2,b,e,i,n,g
131,scour,salet scorn scour,7,3,reast scorn scour,5,3,crate scorn scour,3,3,trace chord scour,4,3,slate scorn scour,7.0,3,crane scour,1,2,s,c,o,u,r
132,glass,salet class glass,4,3,reast class glass,3,3,crate shall glass,6,3,trace shall glass,6,3,slate class glass,3.0,3,crane shall glass,5,3,g,l,a,s,s
133,gamer,salet baker gamer,5,3,reast amber gamer,9,3,crate amber gamer,6,3,trace amber gamer,6,3,slate abeam gamer,10.0,3,crane amber gamer,9,3,g,a,m,e,r
134,scrap,salet scrap,4,2,reast solar scrap,4,3,crate scrap,1,2,trace cargo scrap,4,3,slate scrap,3.0,2,crane scrap,1,2,s,c,r,a,p
135,money,salet fewer money,17,3,reast dicey money,29,3,crate dopey money,17,3,trace dopey money,17,3,slate remen money,24.0,3,crane doven money,12,3,m,o,n,e,y
136,hinge,salet dogie hinge,32,3,reast dicey hinge,29,3,crate dogie hinge,18,3,trace dogie hinge,18,3,slate dogie hinge,24.0,3,crane hinge,3,2,h,i,n,g,e
137,album,salet aloud album,12,3,reast cahow album,25,3,crate aloud album,18,3,trace aloud album,18,3,slate aloud album,5.0,3,crane aloft album,28,3,a,l,b,u,m
138,vouch,salet monic vouch,36,3,reast could vouch,33,3,crate flock vouch,6,3,trace cinch vouch,5,3,slate monic vouch,36.0,3,crane flock vouch,7,3,v,o,u,c,h
139,asset,salet asset,1,2,reast asset,1,2,crate asset,5,2,trace asset,5,2,slate asset,1.0,2,crane asset,11,2,a,s,s,e,t
140,tiara,salet aorta tiara,7,3,reast tiara,2,2,crate quart tiara,4,3,trace tiara,1,2,slate quart tiara,7.0,3,crane stair tiara,7,3,t,i,a,r,a
141,crept,salet crept,6,2,reast crept,3,2,crate crept,1,2,trace crept,1,2,slate inert crept,13.0,3,crane crept,1,2,c,r,e,p,t
142,bayou,salet carny bayou,17,3,reast cahow bayou,24,3,crate aloud bayou,18,3,trace aloud bayou,18,3,slate carny bayou,24.0,3,crane aloft bayou,27,3,b,a,y,o,u
143,atoll,salet aptly atoll,4,3,reast cital atoll,11,3,crate aloft atoll,14,3,trace fatly atoll,13,3,slate aptly atoll,5.0,3,crane aloft atoll,27,3,a,t,o,l,l
144,manor,salet carny manor,17,3,reast favor manor,13,3,crate manor,15,2,trace manor,15,2,slate carny manor,24.0,3,crane apron manor,5,3,m,a,n,o,r
145,creak,salet ahead creak,13,3,reast amber creak,10,3,crate creak,1,2,trace creak,1,2,slate abeam creak,10.0,3,crane creak,1,2,c,r,e,a,k
146,showy,salet scorn showy,7,3,reast ikons showy,10,3,crate fonly showy,30,3,trace fonly showy,30,3,slate scorn showy,7.0,3,crane flout showy,37,3,s,h,o,w,y
147,peach,salet ahead peach,13,3,reast beach peach,4,3,crate peach,1,2,trace peach,1,2,slate beady peach,3.0,3,crane peach,1,2,p,e,a,c,h
148,froth,salet youth froth,12,3,reast froth,4,2,crate froth,1,2,trace froth,1,2,slate month froth,8.0,3,crane drips froth,7,3,f,r,o,t,h
149,depth,salet their depth,18,3,reast depth,2,2,crate depth,3,2,trace sweet depth,13,3,slate berth depth,4.0,3,crane eisel depot depth,20,4,d,e,p,t,h
150,gloom,salet clour flood gloom,20,4,reast could blown gloom,35,4,crate fonly gloom,31,3,trace fonly gloom,31,3,slate floor gloom,12.0,3,crane flout gloom,37,3,g,l,o,o,m
151,flood,salet clour flood,19,3,reast could flood,33,3,crate fonly flood,30,3,trace fonly flood,30,3,slate floor flood,12.0,3,crane flout flood,36,3,f,l,o,o,d
152,trait,salet quart trait,5,3,reast quart trait,3,3,crate train trait,4,3,trace train trait,4,3,slate quart trait,7.0,3,crane braid trait,4,3,t,r,a,i,t
153,girth,salet youth girth,12,3,reast froth girth,5,3,crate girth,2,2,trace robot girth,5,3,slate month girth,8.0,3,crane lirot girth,16,3,g,i,r,t,h
154,piety,salet their piety,18,3,reast cheth piety,8,3,crate depth piety,4,3,trace sweet piety,13,3,slate berth piety,4.0,3,crane eisel piety,18,3,p,i,e,t,y
155,goose,salet goose,2,2,reast goose,2,2,crate dogie goose,18,3,trace dogie goose,18,3,slate goose,2.0,2,crane dobie goose,20,3,g,o,o,s,e
156,float,salet aloft float,5,3,reast fault float,8,3,crate aloft float,14,3,trace fatly float,13,3,slate aloft float,5.0,3,crane aloft float,27,3,f,l,o,a,t
157,donor,salet monic donor,36,3,reast droop donor,19,3,crate fiord donor,13,3,trace fiord donor,13,3,slate monic donor,36.0,3,crane mourn donor,5,3,d,o,n,o,r
158,atone,salet atone,3,2,reast atone,1,2,crate atone,1,2,trace saute atone,4,3,slate atone,1.0,2,crane atone,1,2,a,t,o,n,e
159,primo,salet monic primo,36,3,reast droop primo,19,3,crate drink primo,9,3,trace drink primo,9,3,slate monic primo,36.0,3,crane drips primo,7,3,p,r,i,m,o
160,apron,salet acorn apron,15,3,reast favor apron,13,3,crate manor apron,16,3,trace manor apron,16,3,slate carny apron,24.0,3,crane apron,4,2,a,p,r,o,n
161,blown,salet clour flood blown,20,4,reast could blown,34,3,crate fonly blown,30,3,trace fonly blown,30,3,slate floor blown,13.0,3,crane input blown,14,3,b,l,o,w,n
162,cacao,salet carny cacao,17,3,reast cahow cacao,24,3,crate cabal cacao,5,3,trace cacao,8,2,slate carny cacao,24.0,3,crane cacao,4,2,c,a,c,a,o
